"STATION","NAME","DATE","PRCP","TAVG","TMAX","TMIN",
"COM00080110","OLAYA HERRERA, CO","2001-10-07","34.0","23.4"," ","16.2",
"COM00080110","OLAYA HERRERA, CO","2001-12-09","51.1","22.4"," ","16.7",
"COM00080110","OLAYA HERRERA, CO","2002-04-07","90.9","21.5"," ","19.0",
"COM00080110","OLAYA HERRERA, CO","2002-06-11","50.0","24.4"," ","16.2",
"COM00080110","OLAYA HERRERA, CO","2002-09-26","40.9","23.0"," ","17.0",
"COM00080110","OLAYA HERRERA, CO","2002-11-08","42.9","19.1"," ","16.5",
"COM00080110","OLAYA HERRERA, CO","2003-04-10","31.0","21.9"," ","16.7",
"COM00080110","OLAYA HERRERA, CO","2003-04-24","31.0","23.1"," ","18.2",
"COM00080110","OLAYA HERRERA, CO","2003-06-13","38.1","20.3"," ","17.7",
"COM00080110","OLAYA HERRERA, CO","2003-11-12","37.1","21.3"," ","16.4",
"COM00080110","OLAYA HERRERA, CO","2004-10-18","31.0","20.9","24.1","17.2",
"COM00080110","OLAYA HERRERA, CO","2005-02-06","52.3","24.2"," "," ",
"COM00080110","OLAYA HERRERA, CO","2005-05-05","50.0","22.7"," ","17.0",
"COM00080110","OLAYA HERRERA, CO","2005-05-16","65.0","22.6"," ","17.6",
"COM00080110","OLAYA HERRERA, CO","2005-05-23","39.1","20.8"," ","16.3",
"COM00080110","OLAYA HERRERA, CO","2005-06-06","393.4","22.3"," "," ",
"COM00080110","OLAYA HERRERA, CO","2005-06-19","132.6","24.7"," ","15.1",
"COM00080110","OLAYA HERRERA, CO","2005-06-22","229.6","24.9"," ","17.1",
"COM00080110","OLAYA HERRERA, CO","2005-06-25","132.3","24.6"," ","16.1",
"COM00080110","OLAYA HERRERA, CO","2005-07-03","140.0","25.3"," ","15.1",
"COM00080110","OLAYA HERRERA, CO","2005-07-05","42.9","22.6"," ","16.0",
"COM00080110","OLAYA HERRERA, CO","2005-07-24","127.0","26.1"," ","13.2",
"COM00080110","OLAYA HERRERA, CO","2005-08-07","132.3","26.2"," ","10.9",
"COM00080110","OLAYA HERRERA, CO","2005-08-14","132.6","23.7"," ","14.3",
"COM00080110","OLAYA HERRERA, CO","2006-04-30","55.9","22.1"," ","17.0",
"COM00080110","OLAYA HERRERA, CO","2006-10-14","33.0","21.3"," ","17.4",
"COM00080110","OLAYA HERRERA, CO","2007-07-20","33.0","22.2"," ","16.0",
"COM00080110","OLAYA HERRERA, CO","2010-05-20","33.0","23.8"," ","18.2",
"COM00080110","OLAYA HERRERA, CO","2010-05-31","32.0","21.9"," "," ",
"COM00080110","OLAYA HERRERA, CO","2010-07-04","36.1","22.8"," ","17.6",
"COM00080110","OLAYA HERRERA, CO","2010-07-21","31.0","22.9"," ","17.8",
"COM00080110","OLAYA HERRERA, CO","2010-07-31","36.1","21.3"," ","17.2",
"COM00080110","OLAYA HERRERA, CO","2010-11-03","39.9","20.2"," "," ",
"COM00080110","OLAYA HERRERA, CO","2010-12-01","35.1","21.6"," "," ",
"COM00080110","OLAYA HERRERA, CO","2010-12-03","34.0","20.5"," "," ",
"COM00080110","OLAYA HERRERA, CO","2011-01-05","33.0","21.6"," "," ",
"COM00080110","OLAYA HERRERA, CO","2011-01-27","35.1","21.7"," ","16.2",
"COM00080110","OLAYA HERRERA, CO","2011-02-07","36.1","18.9"," "," ",
