"STATION","NAME","DATE","PRCP","TMAX","TMIN","TOBS"
"USC00284339","JERSEY CITY, NJ US","1980-01-01","0.0","5.0","-2.2","-0.6"
"USC00284339","JERSEY CITY, NJ US","1980-01-02","0.0","2.2","-2.2","0.6"
"USC00284339","JERSEY CITY, NJ US","1980-01-03","0.0","1.1","-4.4","-4.4"
"USC00284339","JERSEY CITY, NJ US","1980-01-04","0.5","-3.9","-7.8","-3.9"
"USC00284339","JERSEY CITY, NJ US","1980-01-05","5.1","-1.7","-5.0","-5.0"
"USC00284339","JERSEY CITY, NJ US","1980-01-06","0.0","-2.8","-8.9","-4.4"
"USC00284339","JERSEY CITY, NJ US","1980-01-07","0.0","2.8","-4.4","1.1"
"USC00284339","JERSEY CITY, NJ US","1980-01-08","0.0","1.1","-2.2","-2.2"
"USC00284339","JERSEY CITY, NJ US","1980-01-09","0.0","-1.7","-5.0","-5.0"
"USC00284339","JERSEY CITY, NJ US","1980-01-10","0.0","-1.1","-7.2","-1.1"
"USC00284339","JERSEY CITY, NJ US","1980-01-11","15.2","12.8","-1.1","12.8"
"USC00284339","JERSEY CITY, NJ US","1980-01-12","5.1","12.8","-5.0","-5.0"
"USC00284339","JERSEY CITY, NJ US","1980-01-13","0.0","-0.6","-6.7","-0.6"
"USC00284339","JERSEY CITY, NJ US","1980-01-14","0.0","7.8","-1.7","7.8"
"USC00284339","JERSEY CITY, NJ US","1980-01-15","0.0","8.3","1.7","1.7"
"USC00284339","JERSEY CITY, NJ US","1980-01-16","0.0","6.1","-0.6","0.6"
"USC00284339","JERSEY CITY, NJ US","1980-01-17","0.0","2.2","-0.6","1.7"
"USC00284339","JERSEY CITY, NJ US","1980-01-18","12.4","5.0","1.7","3.3"
"USC00284339","JERSEY CITY, NJ US","1980-01-19","3.0","5.0","2.2","2.2"
"USC00284339","JERSEY CITY, NJ US","1980-01-20","0.0","3.3","-2.8","-2.8"
"USC00284339","JERSEY CITY, NJ US","1980-01-21","0.0","2.2","-3.3","-1.7"
"USC00284339","JERSEY CITY, NJ US","1980-01-22","2.8","2.8","-2.2","2.2"
"USC00284339","JERSEY CITY, NJ US","1980-01-23","0.0","4.4","-5.6","-5.6"
"USC00284339","JERSEY CITY, NJ US","1980-01-24","0.0","-5.0","-7.8","-6.7"
"USC00284339","JERSEY CITY, NJ US","1980-01-25","0.0","-2.2","-7.8","-3.3"
"USC00284339","JERSEY CITY, NJ US","1980-01-26","0.0","0.6","-6.1","-5.0"
"USC00284339","JERSEY CITY, NJ US","1980-01-27","0.0","1.7","-6.1","-1.7"
"USC00284339","JERSEY CITY, NJ US","1980-01-28","0.0","0.6","-3.9","-2.8"
"USC00284339","JERSEY CITY, NJ US","1980-01-29","0.0","-2.2","-6.7","-6.7"
"USC00284339","JERSEY CITY, NJ US","1980-01-30","0.0","-3.3","-9.4","-9.4"
"USC00284339","JERSEY CITY, NJ US","1980-01-31","0.0","-4.4","-12.8","-12.8"
"USC00284339","JERSEY CITY, NJ US","1980-02-01","0.0","-6.7","-15.6","-10.6"
"USC00284339","JERSEY CITY, NJ US","1980-02-02","0.0","-4.4","-10.6","-10.6"
"USC00284339","JERSEY CITY, NJ US","1980-02-03","0.0","-2.8","-11.1","-7.8"
"USC00284339","JERSEY CITY, NJ US","1980-02-04","0.0","-1.1","-8.9","-7.8"
"USC00284339","JERSEY CITY, NJ US","1980-02-05","0.0","-0.6","-9.4","-7.2"
"USC00284339","JERSEY CITY, NJ US","1980-02-06","0.0","-3.3","-10.0","-5.0"
"USC00284339","JERSEY CITY, NJ US","1980-02-07","0.0","0.0","-6.7","-2.8"
"USC00284339","JERSEY CITY, NJ US","1980-02-08","0.0","3.3","-6.7","-2.8"
"USC00284339","JERSEY CITY, NJ US","1980-02-09","0.0","-0.6","-6.7","-2.2"
"USC00284339","JERSEY CITY, NJ US","1980-02-10","0.0","1.1","-6.1","-3.3"
"USC00284339","JERSEY CITY, NJ US","1980-02-11","0.0","2.8","-6.7","-1.7"
"USC00284339","JERSEY CITY, NJ US","1980-02-12","0.0","2.2","-3.9","-3.9"
"USC00284339","JERSEY CITY, NJ US","1980-02-13","0.0","3.3","-6.1","-4.4"
"USC00284339","JERSEY CITY, NJ US","1980-02-14","0.0","6.1","-4.4","-0.6"
"USC00284339","JERSEY CITY, NJ US","1980-02-15","0.0","1.7","-3.3","-1.7"
"USC00284339","JERSEY CITY, NJ US","1980-02-16","16.3","1.7","-7.8","-7.2"
"USC00284339","JERSEY CITY, NJ US","1980-02-17","0.0","-3.9","-8.9","-7.8"
"USC00284339","JERSEY CITY, NJ US","1980-02-18","0.0","-1.7","-10.0","-2.2"
"USC00284339","JERSEY CITY, NJ US","1980-02-19","0.0","5.0","-4.4","1.1"
"USC00284339","JERSEY CITY, NJ US","1980-02-20","0.0","6.1","-3.3","2.2"
"USC00284339","JERSEY CITY, NJ US","1980-02-21","0.0","11.7","2.2","2.8"
"USC00284339","JERSEY CITY, NJ US","1980-02-22","6.4","2.8","-2.2","0.0"
"USC00284339","JERSEY CITY, NJ US","1980-02-23","0.0","8.3","0.0","1.7"
"USC00284339","JERSEY CITY, NJ US","1980-02-24","0.0","7.8","1.1","3.3"
"USC00284339","JERSEY CITY, NJ US","1980-02-25","0.0","3.9","-2.8","-1.1"
"USC00284339","JERSEY CITY, NJ US","1980-02-26","0.0","-1.1","-11.1","-10.6"
"USC00284339","JERSEY CITY, NJ US","1980-02-27","0.0","-0.6","-10.6","-3.9"
"USC00284339","JERSEY CITY, NJ US","1980-02-28","0.0","-1.7","-8.3","-8.3"
"USC00284339","JERSEY CITY, NJ US","1980-02-29","0.0","-8.3","-13.9","-13.9"
"USC00284339","JERSEY CITY, NJ US","1980-03-01","0.0","-6.1","-15.0","-8.9"
"USC00284339","JERSEY CITY, NJ US","1980-03-02","0.0","-5.6","-12.2","-8.9"
"USC00284339","JERSEY CITY, NJ US","1980-03-03","0.0","1.7","-11.1","-2.8"
"USC00284339","JERSEY CITY, NJ US","1980-03-04","0.0","8.3","-4.4","2.2"
"USC00284339","JERSEY CITY, NJ US","1980-03-05","2.5","7.2","1.1","6.7"
"USC00284339","JERSEY CITY, NJ US","1980-03-06","0.0","6.7","-1.1","0.6"
"USC00284339","JERSEY CITY, NJ US","1980-03-07","0.3","7.2","0.0","6.1"
"USC00284339","JERSEY CITY, NJ US","1980-03-08","12.7","10.0","3.9","8.3"
"USC00284339","JERSEY CITY, NJ US","1980-03-09","0.0","8.3","1.1","1.1"
"USC00284339","JERSEY CITY, NJ US","1980-03-10","12.2","7.8","-0.6","6.7"
"USC00284339","JERSEY CITY, NJ US","1980-03-11","6.1","6.7","-5.0","-5.0"
"USC00284339","JERSEY CITY, NJ US","1980-03-12","0.0","0.6","-6.7","-3.9"
"USC00284339","JERSEY CITY, NJ US","1980-03-13","24.1","-1.7","-6.7","-5.0"
"USC00284339","JERSEY CITY, NJ US","1980-03-14","10.2","2.8","-5.0","-0.6"
"USC00284339","JERSEY CITY, NJ US","1980-03-15","0.0","3.3","-2.2","-2.2"
"USC00284339","JERSEY CITY, NJ US","1980-03-16","0.0","4.4","-5.6","2.2"
"USC00284339","JERSEY CITY, NJ US","1980-03-17","3.8","11.1","2.2","10.6"
"USC00284339","JERSEY CITY, NJ US","1980-03-18","5.1","10.6","1.1","1.1"
"USC00284339","JERSEY CITY, NJ US","1980-03-19","0.0","11.7","-1.1","6.7"
"USC00284339","JERSEY CITY, NJ US","1980-03-20","0.0","11.7","2.8","8.9"
"USC00284339","JERSEY CITY, NJ US","1980-03-21","33.3","9.4","3.3","6.7"
"USC00284339","JERSEY CITY, NJ US","1980-03-22","22.1","6.7","0.6","1.1"
"USC00284339","JERSEY CITY, NJ US","1980-03-23","0.0","11.7","0.0","3.3"
"USC00284339","JERSEY CITY, NJ US","1980-03-24","10.4","8.9","1.1","3.3"
"USC00284339","JERSEY CITY, NJ US","1980-03-25","11.4","4.4","1.1","2.2"
"USC00284339","JERSEY CITY, NJ US","1980-03-26","0.0","7.2","0.6","3.3"
"USC00284339","JERSEY CITY, NJ US","1980-03-27","0.0","11.1","0.6","0.6"
"USC00284339","JERSEY CITY, NJ US","1980-03-28","0.0","7.8","0.6","4.4"
"USC00284339","JERSEY CITY, NJ US","1980-03-29","17.8","7.8","3.3","3.3"
"USC00284339","JERSEY CITY, NJ US","1980-03-30","0.0","11.7","3.3","6.7"
"USC00284339","JERSEY CITY, NJ US","1980-03-31","15.2","6.7","-1.1","-1.7"
"USC00284339","JERSEY CITY, NJ US","1980-04-01","0.0","11.1","-1.7","3.9"
"USC00284339","JERSEY CITY, NJ US","1980-04-02","0.0","9.4","2.8","7.2"
"USC00284339","JERSEY CITY, NJ US","1980-04-03","0.0","14.4","5.0","7.2"
"USC00284339","JERSEY CITY, NJ US","1980-04-04","16.8","15.6","5.6","8.3"
"USC00284339","JERSEY CITY, NJ US","1980-04-05","0.0","12.2","5.0","8.3"
"USC00284339","JERSEY CITY, NJ US","1980-04-06","0.0","16.1","7.2","8.3"
"USC00284339","JERSEY CITY, NJ US","1980-04-07","0.0","11.7","5.6","7.2"
"USC00284339","JERSEY CITY, NJ US","1980-04-08","0.0","13.3","5.6","10.6"
"USC00284339","JERSEY CITY, NJ US","1980-04-09","50.8","11.1","8.3","10.0"
"USC00284339","JERSEY CITY, NJ US","1980-04-10","0.0","17.8","10.0","13.3"
"USC00284339","JERSEY CITY, NJ US","1980-04-11","0.0","16.7","9.4","9.4"
"USC00284339","JERSEY CITY, NJ US","1980-04-12","0.0","16.1","8.9","13.3"
"USC00284339","JERSEY CITY, NJ US","1980-04-13","0.0","18.3","10.0","11.7"
"USC00284339","JERSEY CITY, NJ US","1980-04-14","23.6","11.7","5.6","11.7"
"USC00284339","JERSEY CITY, NJ US","1980-04-15","0.0","16.1","7.8","7.8"
"USC00284339","JERSEY CITY, NJ US","1980-04-16","0.0","7.8","-0.6","-0.6"
"USC00284339","JERSEY CITY, NJ US","1980-04-17","0.0","13.3","-2.2","6.1"
"USC00284339","JERSEY CITY, NJ US","1980-04-18","0.0","15.0","6.1","10.0"
"USC00284339","JERSEY CITY, NJ US","1980-04-19","0.0","15.6","6.7","9.4"
"USC00284339","JERSEY CITY, NJ US","1980-04-20","0.0","20.0","7.8","15.0"
"USC00284339","JERSEY CITY, NJ US","1980-04-21","0.0","21.1","11.7","13.9"
"USC00284339","JERSEY CITY, NJ US","1980-04-22","0.0","16.1","4.4","15.6"
"USC00284339","JERSEY CITY, NJ US","1980-04-23","0.0","17.8","2.8","12.2"
"USC00284339","JERSEY CITY, NJ US","1980-04-24","0.0","16.7","7.8","8.9"
